"subject_uri","target_uri","field","birthYear"
"http://dbpedia.org/resource/Domenico_Guglielmini","http://dbpedia.org/resource/Physics","Physics",1655
"http://dbpedia.org/resource/Domenico_Guglielmini","http://dbpedia.org/resource/Chemistry","Chemistry",1655
"http://dbpedia.org/resource/Domenico_Guglielmini","http://dbpedia.org/resource/Medicine","Medicine",1655
"http://dbpedia.org/resource/William_Molyneux","http://dbpedia.org/resource/Parliament_of_Ireland","Parliament of Ireland",1656
"http://dbpedia.org/resource/Nicolaas_Hartsoeker","http://dbpedia.org/resource/Biology","Biology",1656
"http://dbpedia.org/resource/Nicolaas_Hartsoeker","http://dbpedia.org/resource/Mathematics","Mathematics",1656
"http://dbpedia.org/resource/Nicolaas_Hartsoeker","http://dbpedia.org/resource/Physics","Physics",1656
"http://dbpedia.org/resource/Sébastien_Truchet","http://dbpedia.org/resource/Mathematics","Mathematics",1657
"http://dbpedia.org/resource/Sébastien_Truchet","http://dbpedia.org/resource/Typography","Typography",1657
"http://dbpedia.org/resource/Sébastien_Truchet","http://dbpedia.org/resource/Graphics","Graphics",1657
"http://dbpedia.org/resource/Sébastien_Truchet","http://dbpedia.org/resource/Hydraulics","Hydraulics",1657
"http://dbpedia.org/resource/Thomas_Fantet_de_Lagny","http://dbpedia.org/resource/Mathematics","Mathematics",1660
"http://dbpedia.org/resource/Guillaume_de_l'Hôpital","http://dbpedia.org/resource/Mathematician","Mathematician",1661
"http://dbpedia.org/resource/John_Craig_(mathematician)","http://dbpedia.org/resource/Mathematician","Mathematician",1663
"http://dbpedia.org/resource/William_Whiston","http://dbpedia.org/resource/Mathematics","Mathematics",1667
"http://dbpedia.org/resource/Abraham_de_Moivre","http://dbpedia.org/resource/Mathematics","Mathematics",1667
"http://dbpedia.org/resource/Johann_Bernoulli","http://dbpedia.org/resource/Mathematics","Mathematics",1667
"http://dbpedia.org/resource/Maria_Margaretha_Kirch","http://dbpedia.org/resource/Mathematics","Mathematics",1670
"http://dbpedia.org/resource/Maria_Margaretha_Kirch","http://dbpedia.org/resource/Astronomy","Astronomy",1670
"http://dbpedia.org/resource/John_Keill","http://dbpedia.org/resource/Astronomer","Astronomer",1671
"http://dbpedia.org/resource/George_Cheyne_(physician)","http://dbpedia.org/resource/Physician","Physician",1672
